,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_userid,in_reply_to_tweetid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions
119882,818069235679248385,rMG2tiTG9cvjjVb714C9OZhZDUCcniiIdRXt5AyuFf0=,rMG2tiTG9cvjjVb714C9OZhZDUCcniiIdRXt5AyuFf0=,rMG2tiTG9cvjjVb714C9OZhZDUCcniiIdRXt5AyuFf0=,"Москва, Россия",#followback #взаимныйфолловинг,https://t.co/m90YUzAbqr,932,960,2016-10-06,ru,en,true https://t.co/9kxsR0i3SH,2017-01-08 12:17:00,Twitter Web Client,,,8.173991061675213e+17,False,,,absent,absent,0,0,1,1,[],['https://twitter.com/so_awful/status/817399106167521280'],[]
121091,1006856950800371713,912599581820637184,Expo 2025 Russia,expo2025russia,,The official page of the Russian bid for Expo 2025,https://t.co/SLKSvL0qEF,40938,9,2017-09-26,ru,en,"In Paris, Dmitry Medvedev @MedvedevRussia, Prime Minister of the Russian Federation, has presented Ekaterinburg’s bid for World Expo 2025.

https://t.co/QFaRAOtmjv

#expo2025 #vote4ekb",2018-06-13 11:12:00,TweetDeck,,,,False,,,absent,absent,0,1,7,9,"['expo2025', 'vote4ekb']",['https://youtu.be/yAND6nXBjUQ'],['153812887']
121146,1007207317505536000,xAy5tNi7c4R9gJphTWgIbNbUBbx8wHC1Ot8VzcV+6tA=,xAy5tNi7c4R9gJphTWgIbNbUBbx8wHC1Ot8VzcV+6tA=,xAy5tNi7c4R9gJphTWgIbNbUBbx8wHC1Ot8VzcV+6tA=,,,,46,38,2017-06-29,ru,en,"What's up in Armenia? 

https://t.co/00HspX4NUK",2018-06-14 10:25:00,TweetDeck,,,,False,,,absent,absent,0,0,0,0,[],['https://www.quora.com/Whats-up-in-Armenia/answer/Eugen-Strijenok-1'],[]
122052,1182678069653491713,IsotCCgD6mC3scyfEyElz0ikQomTNk3w7iWdRoAiU=,IsotCCgD6mC3scyfEyElz0ikQomTNk3w7iWdRoAiU=,IsotCCgD6mC3scyfEyElz0ikQomTNk3w7iWdRoAiU=,,World belongs to the patient,,1,11,2019-10-11,ru,en,"RT @BillGates: In Afghanistan, one of the last countries with polio, vaccine acceptance rates have reached 98% thanks to the tireless work…",2019-10-11 15:23:00,Twitter Web App,,,,True,,1.182025200658985e+18,absent,absent,0,0,0,0,[],[],['50393960']
122129,931887122293850112,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,Take me to NYC https://t.co/okdEQboSNC,2017-11-18 14:09:00,Twitter for iPhone,,,,False,,,absent,absent,0,0,2,0,[],[],[]
122130,692514017320026112,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,drugs of the 21st century ✌🏻️♠️ https://t.co/6cMgk8iCeJ,2016-01-28 01:06:00,Twitter for iPhone,,,,False,,,absent,absent,0,0,1,0,[],[],[]
122131,758995714072383488,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,Just let it go,2016-07-29 12:00:00,Twitter for iPhone,,,,False,,,absent,absent,0,0,1,0,[],[],[]
122135,678846274930663424,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,WbqCTVWm39a7AMI2Cxl0DZ7h1y50GpnGsednLtlE1hs=,"Санкт-Петербург, Россия",♠️,,41,44,2015-09-08,ru,en,#saygoodbye Chris Brown https://t.co/8X4lLkFgSg,2015-12-21 07:55:00,Twitter for iPhone,,,,False,,,absent,absent,0,0,1,0,['saygoodbye'],[],[]
122187,1007207420756717568,swYMTx9ot6HNPrQJgjQpZ5ItKAdYEEIuNetbixmVA64=,swYMTx9ot6HNPrQJgjQpZ5ItKAdYEEIuNetbixmVA64=,swYMTx9ot6HNPrQJgjQpZ5ItKAdYEEIuNetbixmVA64=,,,,47,38,2017-06-29,ru,en,"What's up in Armenia? 

https://t.co/ArOaIGhrjp",2018-06-14 10:25:00,TweetDeck,,,,False,,,absent,absent,0,0,0,0,[],['https://www.quora.com/Whats-up-in-Armenia/answer/Eugen-Strijenok-1'],[]
122377,1009715069243068416,912599581820637184,Expo 2025 Russia,expo2025russia,,The official page of the Russian bid for Expo 2025,https://t.co/SLKSvL0qEF,40938,9,2017-09-26,ru,en,The Sevastyanov House is righteously considered Ekaterinburg’s symbol. The unusual stone building with a semicircular rotunda is located at the city pond. The palace which was reconstructed and restored several times has aggregated different architectural styles. https://t.co/JnEg2K7fFT,2018-06-21 08:30:00,Postmypost,,,,False,,,absent,absent,0,3,10,3,[],[],[]
